EmployeeID,Name,Department,Age,Experience,Salary,City,JoiningDate
409,Smith,IT,55.0,24,115093.0,Chennai,2020-11-26
114,Smith,Marketing,23.0,18,108524.0,Hyderabad,2015-04-02
515,Sneha,Marketing,32.0,22,76474.0,Hyderabad,2022-12-08
133,Vikram,Operations,46.0,27,113861.0,Delhi,2015-08-13
561,Priya,Sales,44.0,3,98543.0,Hyderabad,2023-10-26
256,Sneha,Operations,44.0,16,62430.0,Chennai,2017-12-21
350,Arun,Marketing,48.0,23,101218.0,Bangalore,2019-10-10
318,Karthik,Marketing,32.0,1,115397.0,Bangalore,2019-02-28
322,Suresh,Marketing,56.0,17,43449.0,Bangalore,2019-03-28
394,Vikram,HR,56.0,5,119914.0,Delhi,2020-08-13
233,Karthik,Operations,46.0,0,105879.0,Hyderabad,2017-07-13
566,Sneha,IT,56.0,16,61062.0,Pune,2023-11-30
539,John,Finance,41.0,14,40896.0,Delhi,2023-05-25
280,Smith,Operations,50.0,0,92526.0,Bangalore,2018-06-07
547,Priya,Operations,,29,95342.0,Hyderabad,2023-07-20
491,Karthik,Marketing,54.0,7,91017.0,Pune,2022-06-23
583,Karthik,Operations,29.0,23,45662.0,Chennai,2024-03-28
573,John,Operations,31.0,4,91150.0,Hyderabad,2024-01-18
517,Meena,Operations,57.0,3,94626.0,Pune,2022-12-22
403,Sneha,IT,37.0,13,42771.0,Bangalore,2020-10-15
239,Priya,HR,27.0,25,52632.0,Mumbai,2017-08-24
329,Meena,HR,23.0,24,63000.0,Chennai,2019-05-16
422,Kavya,HR,25.0,0,42685.0,Chennai,2021-02-25
202,Suresh,Finance,22.0,16,65631.0,Mumbai,2016-12-08
306,Suresh,Sales,33.0,14,117374.0,Mumbai,2018-12-06
478,Rahul,Finance,26.0,3,29853.0,Mumbai,2022-03-24
219,Meena,Sales,57.0,14,101077.0,Hyderabad,2017-04-06
161,Kavya,Operations,44.0,24,70558.0,Hyderabad,2016-02-25
191,Karthik,Sales,,7,44029.0,Hyderabad,2016-09-22
